timestamp,epoch,loss_d,loss_g
2026-04-24 21:27:04.445501,710,-329566.3438,211571.0938
2026-04-24 21:28:58.873900,720,-284642.2500,222640.8906
2026-04-24 21:30:53.423000,730,-321957.6875,228911.1562
2026-04-24 21:32:48.277917,740,-311696.7188,213837.5312
2026-04-24 21:34:42.961115,750,-376745.3125,236852.2031
2026-04-24 21:36:37.545852,760,-395155.5312,249416.7188
2026-04-24 21:38:31.956199,770,-315270.6250,204928.1250
2026-04-24 21:40:26.529714,780,-391025.3438,241522.2500
2026-04-24 21:42:20.664236,790,-479483.7812,276366.3750
2026-04-24 21:44:15.020264,800,-366964.1250,261058.9688
2026-04-24 21:46:09.530821,810,-397390.7500,264222.2812
2026-04-24 22:15:22.221829,820,-441519.5625,275273.2188
2026-04-24 22:17:14.939811,830,-450934.1250,285332.6250
2026-04-24 22:19:07.045120,840,-473676.1562,290467.4375
2026-04-24 22:20:59.206124,850,-433692.7812,288372.6875
2026-04-24 22:22:51.206991,860,-505068.0000,307934.0000
2026-04-24 22:24:43.136163,870,-530863.6250,322123.5000
2026-04-24 22:26:35.125871,880,-522892.5625,324264.8750
2026-04-24 22:28:27.093316,890,-445787.4688,294542.2500
2026-04-24 22:30:19.105134,900,-522846.9375,340709.5312
2026-04-24 22:32:11.764985,910,-475806.0312,295272.0938
2026-04-24 22:34:03.959063,920,-560474.1875,337461.2188
2026-04-24 22:35:56.055247,930,-581557.3750,365846.6250
2026-04-24 22:37:48.264565,940,-670245.1875,384586.6562
2026-04-24 22:39:40.630901,950,-514193.1250,349455.0938
2026-04-24 22:41:32.842923,960,-570475.2500,389574.6875
2026-04-24 22:43:25.042654,970,-547793.0625,384854.7500
2026-04-24 22:45:17.026898,980,-612540.8750,410370.1250
2026-04-24 22:47:10.675432,990,-700209.8125,415031.5000
2026-04-24 22:49:02.974897,1000,-573975.0000,372667.9688
2026-04-24 22:50:54.750085,1010,-704275.5625,408755.3438
2026-04-24 22:52:46.978495,1020,-754676.0000,440882.7188
2026-04-24 22:54:39.111429,1030,-646558.7500,437851.7188
2026-04-24 22:56:31.201326,1040,-744537.8750,461264.6875
2026-04-24 22:58:23.260973,1050,-723712.5000,454643.0625
2026-04-24 23:00:15.331359,1060,-693585.5000,462457.0938
2026-04-24 23:02:07.423446,1070,-807149.5000,474496.1875
2026-04-24 23:03:59.561496,1080,-777857.5625,463987.1250
2026-04-24 23:05:51.911628,1090,-749591.7500,492241.4688
2026-04-24 23:07:44.593780,1100,-809879.3750,501711.4062
2026-04-24 23:09:36.945804,1110,-819437.7500,515405.5625
2026-04-24 23:11:29.219805,1120,-885732.5625,510218.4375
2026-04-24 23:13:21.449422,1130,-918428.3125,537539.0000
2026-04-24 23:15:13.684174,1140,-922746.1250,521189.8750
2026-04-24 23:17:05.843596,1150,-790888.7500,480406.0000
2026-04-24 23:18:57.984033,1160,-962067.6250,555520.0000
2026-04-24 23:20:50.144548,1170,-932888.7500,527033.6250
2026-04-24 23:22:42.248205,1180,-937608.2500,565682.8750
2026-04-24 23:24:34.309157,1190,-1021456.5000,584780.3750
2026-04-24 23:26:26.956273,1200,-925071.7500,559413.7500
2026-04-24 23:28:19.278581,1210,-916315.1250,602172.6250
2026-04-24 23:30:11.179211,1220,-976294.0625,592565.2500
2026-04-24 23:32:03.502098,1230,-1137944.7500,640883.1875
2026-04-24 23:33:55.556524,1240,-956712.3750,584109.0625
2026-04-26 09:33:15.029768,1280,-9.9129,671197.6250
2026-04-26 09:41:54.698770,1290,-0.1656,670500.8125
2026-04-26 09:50:33.864300,1300,-9.9863,669786.6875
